Txn Date,Narration / Description,Debit (₹),Credit (₹),Category
15-07-2026,Zomato Food Order,450.00,,Food & Dining
16-07-2026,Salary Credit - Acme Corp,,85000.00,Salary
18-07-2026,Uber Ride to Office,320.00,,Transport
20-07-2026,Amazon India Electronics,2499.00,,Shopping
22-07-2026,Airtel Broadband Bill,1199.00,,Utilities
24-07-2026,D-Mart Grocery Shopping,3850.00,,Grocery
25-07-2026,Freelance Project Payment,,15000.00,Freelance
27-07-2026,Apollo Pharmacy Medicines,650.00,,Healthcare
28-07-2026,Starbucks Coffee,420.00,,Food & Dining
30-07-2026,Netflix Subscription,649.00,,Entertainment
